Project Description,Location,Contractor,Cost,Completion Date
"Construction of Slope Protection Structure in Marikina River, Sta. 20+150 to Sta. 20+400, Brgy. Batasan Hills, Quezon City",QUEZON CITY,"A.L. SALAZAR CONSTRUCTION, INC.","42,330,218.21",11/21/2022
"Construction of Flood Control Structure and Tributaries along San Francisco River (Phase II), Quezon City",QUEZON CITY,VICTORIA DEVELOPMENT AND VENTURES CORP. (FOR: VICTORIA DEV'T AND CONST. CORP.),"48,019,939.82",11/21/2022
"Construction of Flood Control Structure at Sitio Sokong, Kabayan, Benguet",BENGUET,AROBOAN CONSTRUCTION AND SUPPLY,"9,679,857.68",11/21/2022
"Construction of Wayangan Flood Control, Tubo, Abra",ABRA,739 BUILDERS,"96,496,961.02",11/21/2022
"Construction of Slope Protection along Padre Burgos, Southern Leyte",SOUTHERN LEYTE,"S-ANG CONSTRUCTION & GENERAL TRADING, INC. / MORTAR MASTERS & CONCRETE BUILDERS","96,500,000.00",11/20/2022
"Construction of Riverwall, Barangay Camanga, Siay, Zamboanga Sibugay",ZAMBOANGA SIBUGAY,LONG ISLAND BUILDERS & CONSTRUCTION,"38,699,939.44",11/20/2022
"Construction of Buenavista Seawall, Buenavista, Marinduque",MARINDUQUE,JEFF ENTERPRISES,"14,698,930.12",11/20/2022
"Construction of Tarlac City Urban Drainage System (Phase 4), Tarlac City, Tarlac",TARLAC,NORTHERN BUILDERS,"94,570,289.88",11/20/2022
"Construction of Flood Control Structures along Balagtas River, K0008 + 176.20 - K0008 + 431.80, Balagtas, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / BLACK HARDHAT INC. (FORMERLY: JCHARDHAT INC.),"37,239,159.73",11/20/2022
"Improvement of Waterways with Flood Control Structures along Balagtas River, Sta. 0 + 000 to Sta. 0 + 540, Wawa, Balagtas, Bulacan",BULACAN,"L.R. TIQUI BUILDERS, INC.","62,724,996.89",11/20/2022
"Rehabilitation of Flood Control/Drainage Structure along Matuno River, San Leonardo Section, Bambang, Nueva Vizcaya",NUEVA VIZCAYA,J.E.L. CONSTRUCTION & SUPPLY,"24,500,000.00",11/20/2022
"Repair/Rehabilitation/Improvement of Flood Control and Drainage Structure Along Magat River, Bangar Section 1, Brgy. Bangar, Solano, Nueva Vizcaya",NUEVA VIZCAYA,SHANLEY CONSTRUCTION,"29,700,000.00",11/20/2022
"Construction of Jubas Flood Control, Libagon, Southern Leyte",SOUTHERN LEYTE,JQD CONSTRUCTION & GENERAL SERVICES,"19,568,359.50",11/19/2022
"Construction of Riverbank Protection along Manapot River, Tawog, Caramoan, Camarines Sur",CAMARINES SUR,IA FERRER CONSTRUCTION & SUPPLY,"29,400,000.00",11/19/2022
"Construction of Revetment along Julian River, Brgy. Malagasang I-E, West Side, Imus, Cavite",CAVITE,C.S. RAMOS CONSTRUCTION / ALMAKAR BUILDERS & METAL WORKS,"89,745,000.00",11/19/2022
"Improvement of Sto Niño Creek, Pasay City",PASAY CITY,E.R. RODRIGUEZ CONSTRUCTION CORPORATION (FORMERLY: E.R. RODRIGUEZ CONSTRUCTION),"28,939,547.94",11/19/2022
"Construction of Drainage System at Purok 1, Barangay Baliok, Talomo District, Davao City",DAVAO DEL SUR,"AGONG BUILDERS AND CONSTRUCTION SUPPLY, INC.","9,800,000.00",11/18/2022
"Construction of Revetment along Manat River leading to Agusan River at Inambatan Bridge (Downstream), Brgy. Olaycon, Monkayo, Davao de Oro",DAVAO DE ORO,RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),"67,549,964.47",11/18/2022
"Construction (Extension) of Catarman Flood Control Structures (Catarman River Basin), Brgy. Sampaguita, Jose Abad Santos, Baybay, Catarman, Northern Samar",NORTHERN SAMAR,SAL CONSTRUCTION / CDU CONSTRUCTION,"42,254,877.86",11/18/2022
"Construction of Putiao River Control, Pilar Sorsogon",SORSOGON,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"47,304,633.91",11/18/2022
"Construction of River Control Project at Subaan River (Phase III), San Teodoro, Oriental Mindoro",ORIENTAL MINDORO,ROAD EDGE TRADING & DEVELOPMENT SERVICES,"96,490,896.94",11/18/2022
"Construction of Creek Wall Protection, Malalim Na Sara Going to San Juan Creek at Brgy. Macamot And Brgy. Batingan, Binangonan, Rizal",RIZAL,GLJ CONSTRUCTION,"15,679,904.51",11/18/2022
"Construction of Flood Control Structure at Angono River, Barangay San Isidro, Angono Rizal",RIZAL,A.J. LAVA BUILDERS CORP. (FORMERLY: A.J. LAVA BUIL,"37,231,649.95",11/18/2022
"Construction of Revetment along Tabon Waterways, (Maahas side), Brgy. Maahas, Los Banos,Laguna",LAGUNA,BHENLLABIEN BUILDERS CORPORATION (FORMERLY: BHENLLABIEN BUILDERS CONSTRUCTION),"86,813,738.33",11/18/2022
"Construction of Revetment along Imus River, Brgy. Mabolo I, Bacoor City, Cavite",CAVITE,GRAIA CONSTRUCTION CORPORATION,"57,895,300.07",11/18/2022
"Construction of Riverbank Protection along Palico River, Nasugbu, Batangas",BATANGAS,V.R. PATRON BUILDERS & DEVELOPERS CORP. (PREVIOUSL,"77,200,000.00",11/18/2022
"Construction of San Pedro River Control (along Cagayan River), San Pedro, Maddela, Downstream, Quirino",QUIRINO,"A.P.D. CONSTRUCTION, INC. (FORMERLY: APD CONSTRUCTION)","48,995,706.50",11/18/2022
"Improvement of Manamtam River Control along Matuno River, Manamtam Section, Sta. 0+360 - Sta. 0+510, Bambang, Nueva Vizcaya",NUEVA VIZCAYA,J.E.L. CONSTRUCTION & SUPPLY,"24,519,676.04",11/18/2022
"Construction of Siffu River Flood Control Project (Qui-Bur Bridge Abutment ""B"" Downstream Section), Quirino, Isabela",ISABELA,DANYSONS CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: DANYSONS CONSTRUCTION),"39,199,987.54",11/18/2022
"Construction of Automatic Trash Screen Rake including accessories and platform along Estero de Valencia, Manila City",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES,"72,374,100.88",11/18/2022
"Construction of Slope Protection Along Taguig River, Facing Downstream (West Bank), Package 5, Taguig City",TAGUIG CITY,ST. TIMOTHY CONSTRUCTION CORPORATION,"94,190,038.78",11/18/2022
"Construction of Slope Protection Along Taguig River, Facing Downstream (West Bank), Package 6, Taguig City",TAGUIG CITY,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,"96,500,000.00",11/18/2022
"Construction of Floodwall along Chungkang River (Phase 2), Navotas City",NAVOTAS CITY,ST. TIMOTHY CONSTRUCTION CORPORATION,"49,414,754.65",11/18/2022
"Construction of Drainage in Brgy. Panghulo, Malabon City",MALABON CITY,GECEL CONSTRUCTION,"9,900,000.00",11/18/2022
"Construction of Riverwall and Road Dike along Batasan River (Phase 20), Brgy. Dampalit, Malabon City",MALABON CITY,"A.L. SALAZAR CONSTRUCTION, INC.","57,900,000.00",11/18/2022
"Construction of Riverwall and Road Dike along Batasan River (Phase 21), Brgy. Dampalit, Malabon City",MALABON CITY,"A.L. SALAZAR CONSTRUCTION, INC.","57,900,000.00",11/18/2022
"Construction of Riverwall and Road Dike along Batasan River (Phase 22), Brgy. Dampalit, Malabon City",MALABON CITY,"A.L. SALAZAR CONSTRUCTION, INC. / ROTAFLEX CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY:ROTA FLEX CONSTRUCTION)","57,900,000.00",11/18/2022
"Construction of Bonon Flood Control Structure, Sta. 31+ 380 - Sta.31+460 (LS) along Talubin River, Bontoc, Mountain Province",MOUNTAIN PROVINCE,DHEN'Z CONSTRUCTION,"15,680,000.00",11/18/2022
"Construction of Wawang Flood Control Structure, Sta. 32 + 180 - Sta. 32 + 250 (L.S.), Sta. 32 + 184 - Sta. 32 + 264 (R.S.), Sta. 32 + 328 - Sta. 32 + 358 (L.S.), Sta. 32 + 335 - Sta. 32 + 375 (R.S.) along Talubin River, Bontoc, Mountain Province",MOUNTAIN PROVINCE,SADLAN CONSTRUCTION,"24,500,000.00",11/18/2022
"Construction of Flood Control Structure along Ambalideng River (Wanga Ricefield Area) at Poblacion, Kibungan, Benguet",BENGUET,M.P. TABERAO CONSTRUCTION SERVICES AND SUPPLIES,"29,400,000.00",11/18/2022
"Construction of Patin-ay River Dike (Upstream), Sta. 0+000.00 - Sta. 0+500.00, Prosperidad, Agusan del Sur",AGUSAN DEL SUR,ABADA CONSTRUCTION AND SUPPLY,"11,759,986.07",11/17/2022
"Construction of Concrete Revetment Lower Klinan-Mabuhay (Silway River Basin), Sta. 0+694 - Sta. 1+318, Brgy. Mabuhay, General Santos City",SOUTH COTABATO,LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON / TAJ BUILDERS AND SUPPLY,"86,848,180.34",11/17/2022
"Construction of Revetment along Magallanes River (Magallanes Bridge Section), Matanao, Davao del Sur",DAVAO DEL SUR,TKS BUILDERS & SUPPLIES,"67,550,000.00",11/17/2022
"Construction of Drainage System at Purok 3 Centro, Barangay Langub, Davao City",DAVAO DEL SUR,SNAS CONSTRUCTION AND SUPPLIES,"6,736,112.96",11/17/2022
"Construction of Concrete Revetment along Tagum-Libuganon River Basin, Carmen Section, Davao del Norte",DAVAO DEL NORTE,GP & H CONSTRUCTION INCORPORATED (FORMERLY: GP & H CONSTRUCTION & SUPPLY),"49,000,000.00",11/17/2022
"Construction of Macatol Flood Control, Merida, Leyte",LEYTE,RJIR ENTERPRISES CORPORATION,"29,698,999.03",11/17/2022
"Construction of Flood Control System, J.M. Alberto River, Brgy. J.M. Alberto, Baras, Catanduanes",CATANDUANES,NQA CONSTRUCTION & SUPPLY,"44,098,760.00",11/17/2022
"Construction of Flood Control Structure along Lagasit River, Brgy. Namagbagan, Sta. Maria, Pangasinan",PANGASINAN,R.A. MATIAS CONSTRUCTION AND DEVELOPERS INC. (FORMERLY : R.A. MATIAS CONSTRUCTION AND DEVELOPERS),"28,517,854.91",11/17/2022
"Installation of Automatic Trash Screen & Horizontal Conveyor & Accessories at Estero de Vitas, Barangay 151, Manila City",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES,"93,846,057.69",11/17/2022
"Construction of Flood Control Wall along Malabo Creek, Brgy. Maysan, Valenzuela City",VALENZUELA CITY,SONPRO CONSTRUCTION,"19,028,179.35",11/17/2022
"Construction of Flood Control Wall with Roads and Drainage along Benito Hao Creek, Brgy. Mapulang Lupa, Valenzuela City",VALENZUELA CITY,SONPRO CONSTRUCTION,"19,025,387.56",11/17/2022
"Construction of Flood Control Wall along Gumamela Extension, Brgy. Gen. T. De Leon, Valenzuela City",VALENZUELA CITY,SONPRO CONSTRUCTION,"19,029,943.69",11/17/2022
"Construction of Retaining Wall and Drainage at Displina Village, Lingunan, Brgy. Lingunan, Valenzuela City",VALENZUELA CITY,"TOUGHBUILT CONSTRUCTION & TRADING, INC.","9,540,007.71",11/17/2022
"Improvement of Slope Protection of Baloc-Baloc Creek (Phase II), Parañaque City",PARAÑAQUE CITY,JMK BUILDERS CONSTRUCTION,"27,900,600.00",11/17/2022
"Construction of Dalakit Shore Protection, Brgy. Dalakit, Catarman, Northern Samar",NORTHERN SAMAR,SAL CONSTRUCTION / CDU CONSTRUCTION,"48,989,055.06",11/16/2022
"Construction of Cadac-an Flood Control Structure along Cadac-an River, Cadac-an River Basin, Right Side Bank, Abuyog, Leyte",LEYTE,JUCONS CONSTRUCTION OPC (FORMERLY:JUCONS CONSTRUCTION &SUPPLY) / EZJONES CONSTRUCTION INC.,"95,536,997.78",11/16/2022
"Construction of Alegria River Control, Alegria, Barcelona, Sorsogon",SORSOGON,ALHADRAX CONSTRUCTION AND SUPPLY,"15,523,200.00",11/16/2022
"Construction of Flood Mitigation Structure of San Jose Creek, Barangay San Jose, Pili, Camarines Sur",CAMARINES SUR,DELPAR CONSTRUCTION & SUPPLIES,"4,945,912.30",11/16/2022
"Construction of Shoreline/Seawall in Barangay V, Quezon, Quezon",QUEZON,RAM BUILDERS,"49,000,000.00",11/16/2022
"Construction of River Protection along Biñan River, Brgy. De La Paz, Biñan City, Laguna",LAGUNA,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,"93,431,009.87",11/16/2022
"Construction of Slope Protection along Angeles-Porac Bypass Road, Porac, Pampanga",PAMPANGA,R.D. POLICARPIO & COMPANY INC.,"96,204,248.42",11/16/2022
"Construction of Slope Protection along Angeles-Porac Bypass Road (Phase III), Porac, Pampanga",PAMPANGA,TONKA CONSTRUCTION / FERDSTAR BUILDERS INC.,"96,098,491.37",11/16/2022
"Construction of Drainage Canal (Phase II), Brgy. Quirino, Maria Aurora, Aurora",AURORA,MORNING STEEL CONSTRUCTION,"39,200,000.00",11/16/2022
"Installation of Additional Booster Pump including Accessories at Estero de Maypajo, Juan Luna Section, Manila City",CITY OF MANILA,ST. TIMOTHY CONSTRUCTION CORPORATION / A.M. SALONG CONSTRUCTION,"96,055,346.98",11/16/2022
"Construction of Flood Control wall along Rincon Creek, Brgy. Rincon, Valenzuela City",VALENZUELA CITY,"TOUGHBUILT CONSTRUCTION & TRADING, INC.","8,553,377.26",11/16/2022
"Construction of Flood Mitigation Structures and Groundsill at Moonwalk Creek - Merville Creek Junction, District 2, Parañaque City",PARAÑAQUE CITY,GMO CONSTRUCTION,"24,499,855.40",11/16/2022
"Construction of Revetment Wall/Sheetpiling of Moonwalk Creek from Don Galo River - Moonwalk Creek Junction (Phase II), Parañaque City",PARAÑAQUE CITY,AKN CONSTRUCTION CORPORATION,"49,000,000.00",11/16/2022
"Construction of Revetment Wall/Sheetpiling of Villanueva Creek (Phase 2), Parañaque City",PARAÑAQUE CITY,SPRING STAR CONSTRUCTION AND SUPPLY,"46,468,523.24",11/16/2022
"Construction of Riverwall and Road Dike along Batasan River (Phase 15), Brgy. Dampalit, Malabon City",MALABON CITY,"B. BERNARDO CONST., INC.","49,000,000.00",11/16/2022
"Construction of Riverwall and Road Dike along Batasan River (Phase 16), Brgy. Dampalit, Malabon City",MALABON CITY,"B. BERNARDO CONST., INC.","49,000,000.00",11/16/2022
"Construction of Ambalbalan Flood Control along Chico River Sta. 175+350 - Sta. 175+410 (R.S), Mabongtot, Lubuagan, Kalinga",KALINGA,ROCKWELL BUILDERS,"4,519,926.68",11/16/2022
"Construction of Malabbaga Flood Control, Sta. 58+300 - 58+800, La Paz, Abra",ABRA,ST. TIMOTHY CONSTRUCTION CORPORATION,"29,397,900.00",11/16/2022
"Construction of River Bank Protection along Hinatuan River, Surigao del Sur",SURIGAO DEL SUR,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"38,963,427.44",11/15/2022
"Construction of Baoy River Control, Barangay Daywan, Claver, Surigao del Norte",SURIGAO DEL NORTE,"CTB CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY : CTB ENGINEERING CONSTRUCTION) / CHARLZ CONSTRUCTION, INC.","56,169,526.72",11/15/2022
"Construction of Flood Mitigation Structure along Marbel-Makar Road (Pagalungan Section), (Apopong-Silway-Sinawal River Basin), Pagalungan, Polomolok, South Cotabato",SOUTH COTABATO,AMPLEX CONSTRUCTION AND SUPPLIES,"70,968,904.86",11/15/2022
"Construction of Box Culvert (Double Barrel) at Purok 6, Barangay Gabi, Compostela, Davao De Oro",DAVAO DE ORO,BQPC CORPORATION,"4,949,929.19",11/15/2022
"Construction of Catublian Flood Control, Hinunangan, Southern Leyte",SOUTHERN LEYTE,ST. TIMOTHY CONSTRUCTION CORPORATION,"49,000,000.00",11/15/2022
"Construction of Flood Mitigation Structure at Barangay Tupas (Antequera) along Abatan River - Sta. 000+000.00 - Sta. 001+000.00, Antequera, Bohol",BOHOL,"RUDHIL CONSTRUCTION & ENTERPRISES, INC.(FORMERLY R / HERBERT MALMIS GENERAL MERCHANDISING & CONTRACTOR","47,914,729.53",11/15/2022
"Construction of Flood Mitigation Structure and Drainage System at Alegria, Sta. 000+000.00 - Sta. 000+625.00, Catigbian, Bohol",BOHOL,BNYU DEVELOPMENT CORPORATION (FORMERLY:BNYU ENTERPRISES & CONSTRUCTION),"48,999,390.00",11/15/2022
"Construction of Flood Mitigation Facilities along Panay/Mambusao River Basin, Talasa River Control, Brgy. Talasa, Panay, Capiz",CAPIZ,MRRM TRADING & CONSTRUCTION / SALMEGA BUILDERS,"62,724,975.20",11/15/2022
"Construction of Flood Mitigation Facilities along Panay/Mambusao River Basin, Panitan River Control (Downstream), Panitan, Capiz",CAPIZ,MRRM TRADING & CONSTRUCTION / SALMEGA BUILDERS,"62,724,905.03",11/15/2022
"Construction of Flood Control Structure along Gomihan River, Sorsogon City",SORSOGON,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"19,599,857.32",11/15/2022
"Construction of Flood Control Protection Against Flooding at Barangay San Juan Roro - Burabod River, Sorsogon City, Sorsogon",SORSOGON,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"67,544,199.13",11/15/2022
"Construction of Flood Control Structure along Kipit River, Zamboanga del Norte along Kipit Br. 2 Section (B01183MN) (Downstream - Left Side)",ZAMBOANGA DEL NORTE,EDANNA CONSTRUCTION,"86,057,735.00",11/15/2022
"Construction/Rehabilitation of Flood Control Structure, Taytay River, Taytay, Rizal",RIZAL,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"94,926,276.39",11/15/2022
"Rehabilitation/Reconstruction of Drainage Structure along Brgy. Poblacion, Tagkawayan, Quezon",QUEZON,RUSLIN CONSTRUCTION,"25,284,000.00",11/15/2022
"Construction of Flood Control Structures along Piris River, Buenavista, Quezon",QUEZON,MRRM TRADING & CONSTRUCTION,"29,400,000.00",11/15/2022
"Construction of Revetment/Riverwall along San Isidro River, Brgy. Sampaguita, San Pedro City, Laguna",LAGUNA,MAR-VEL CONSTRUCTION & SUPPLY,"77,196,457.00",11/15/2022
"Construction of Cutar Flood Control Structure along Sta. Fe River, Cutar, Aritao, Nueva Vizcaya",NUEVA VIZCAYA,AMP 723 CONSTRUCTION CORPORATION (FORMERLY: A.M.P. CONSTRUCTION),"48,296,850.24",11/15/2022
"Construction of Flood Control Structures along Bislak River, Brgy. San Ramon, 0+000-0+836, Vintar, Ilocos Norte",ILOCOS NORTE,JCA CONSTRUCTION AND CONSTRUCTION SUPPLY,"48,999,741.36",11/15/2022
"Bank Improvement (Steel Sheet Pile) along Estero de Vitas, (RS) Sta. 0+131.00 to Sta. 0+157.04; (RS) Sta. 0+178.00 to Sta. 0+200.00; (LS) Sta. 0+852.10 to Sta. 0+860.00; (RS) Sta. 0+585.20 to Sta. 0+605.10 & (LS) Sta. 0+024.40 to Sta. 0+060.00, Manila City",CITY OF MANILA,J. SIMEON CONSTRUCTION,"42,723,595.09",11/15/2022
"Construction of Anao-aon Flood Control Structure, Barangay Poblacion, San Francisco, Surigao del Norte",SURIGAO DEL NORTE,C.V. CONSTRUCTION & DEVELOPMENT,"39,199,647.20",11/14/2022
"Construction of Malasila River Flood Control L/S, Brgy. Bulacanon, Makilala, North Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,"48,509,973.26",11/14/2022
"Construction of Revetment along Matanao River (Kasyawa Bridge Section), Matanao, Davao del Sur",DAVAO DEL SUR,TKS BUILDERS & SUPPLIES,"67,550,000.00",11/14/2022
"Construction of Seawall, Medellin, Cebu",CEBU,"GONZALODO ENTERPRISES / RUDHIL CONSTRUCTION & ENTERPRISES, INC.(FORMERLY R","57,735,950.00",11/14/2022
"Construction of Flood Control System Macutal River, Brgy. Macutal, Baras, Catanduanes",CATANDUANES,NQA CONSTRUCTION & SUPPLY,"47,332,760.00",11/14/2022
"Construction of Matoog Toog Seawall, Brgy. Matoog Toog, Mercedes, Camarines Norte",CAMARINES NORTE,BRENTMIN ROOFING ENTERPRISE,"40,874,089.92",11/14/2022
"Construction of Slope Protection, Barangay Guitnang Bayan II, San Mateo, Rizal",RIZAL,"C.E.M. CONSTRUCTION, INC.","4,818,684.46",11/14/2022
"Construction of Grouted Riprap Slope Protection Wall along Tarimis Creek from Daang Tubo Street to Mango River, Rodriguez, Rizal",RIZAL,JORENZ BUILDERS DEVELOPMENT CORP.,"15,965,017.30",11/14/2022
"Construction of River Control along Pagsanjan River, Brgy. Wawa, Lumban, Laguna",LAGUNA,JUSTBILT BUILDERS,"83,514,566.55",11/14/2022
"Construction of River Control along Pagsanjan River, Lumban Section, Lumban, Laguna",LAGUNA,"JTC CRUZ CONSTRUCTION CO., INC.","85,884,929.73",11/14/2022
"Construction of Flood Mitigation Structure along San Juan River, Tanauan - Sto. Tomas, Batangas",BATANGAS,N.D.M. SANCHEZ BUILDERS & DEVELOPMENT CORPORATION,"77,199,364.24",11/14/2022
"Construction of Flood Control Wall along the Banks of Creek, Brgy. 167, Caloocan City",CALOOCAN CITY,JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,"28,749,240.30",11/14/2022
"Construction/Rehabilitation of Flood Control Wall along Bank of Creeks in Barangay 178, 185, 186, 187, 188, Caloocan City",CALOOCAN CITY,"PERSAN CONSTRUCTION, INC. (FORMERLY: PERSAN CONST.","28,663,271.48",11/14/2022
"Rehabilitation/Upgrading of Drainage System at Gawad Kalinga, Brgy. Marcelo Green, Parañaque City, Metro Manila",PARAÑAQUE CITY,RIMJ CONSTRUCTION SUPPLIES AND SERVICES (FOR: ROMINA CONSTRUCTION),"13,106,844.50",11/14/2022
"Construction of Flood Mitigation Structure within Agno River Basin: along Agno River Main Stream (Pacso Section), Kabayan, Benguet",BENGUET,CABUGUIASAN BUILDERS,"24,445,135.58",11/14/2022
"Construction of Flood Control Structure, Banga River (Baras Section), Tacurong, Sultan Kudarat",SULTAN KUDARAT,PALMARES CONSTRUCTION & GENERAL MERCHANDISE CORP. (FORMERLY: PALMARES GENERAL MERCHANDISE),"47,936,892.16",11/13/2022
"Construction of Drainage Canal, Purok 1, Barangay Bunawan, Davao City",DAVAO DEL SUR,"LPS CONSTRUCTION GROUP, INC.","9,800,000.00",11/13/2022
